index	solution_index	moves	attacks	slots	allowed	solution_count	board	solution
1	1	2	4	2	IMA,LAA,LMA	1	..EE\nE..E\n.E@.\n..EE	AD | AL | MR | AD | AU | S1 | MU | R2(LAA-U/R) | S2 | S2 | R1(LMA-L/U) | R2(IMA-L)
2	1	2	4	2	IMA,LAA,LMA	1	.EE.\n@E..\n.E..\nE.EE	AR | MR | S1 | AU | MR | AU | S2 | R1(IMA-D) | AR | S1 | R2(LMA-L/D) | R1(LAA-U/L)
3	1	2	4	2	IMA,LAA,LMA	2	..E.\n..E.\nE@.E\n.EEE	AL | AD | MR | S2 | AR | AU | R2(LMA-R/D) | ML | S1 | R2(LAA-R/D) | R1(IMA-U)
3	2	2	4	2	IMA,LAA,LMA	2	..E.\n..E.\nE@.E\n.EEE	AD | AL | MR | AU | S1 | MU | AU | R1(LMA-R/D) | S1 | S1 | R1(IMA-D) | R2(LAA-U/L)
4	1	2	4	2	IMA,LAA,LMA	3	.E.E\nE.E.\n.EE.\n.E@.	AU | AL | MU | AU | S1 | R1(IMA-U) | AR | MD | S2 | R2(LMA-L/U) | R1(LAA-D/L)
4	2	2	4	2	IMA,LAA,LMA	3	.E.E\nE.E.\n.EE.\n.E@.	AU | AL | ML | S2 | AU | R2(IMA-U) | AR | S1 | R1(LAA-U/L) | MR | S2 | R2(LMA-R/U)
4	3	2	4	2	IMA,LAA,LMA	3	.E.E\nE.E.\n.EE.\n.E@.	AL | ML | S1 | AU | R1(IMA-U) | AR | S1 | R1(LAA-U/L) | MR | AD | S1 | S1 | R1(LMA-U/R)
5	1	2	4	2	IMA,LAA,LMA	2	..E.\nEE.E\n@..E\n..EE	AU | MU | S1 | AR | R1(IMA-R) | AU | AR | MD | S1 | R2(LAA-R/D) | R1(LMA-D/R)
5	2	2	4	2	IMA,LAA,LMA	2	..E.\nEE.E\n@..E\n..EE	AU | MR | S1 | MR | AR | AD | R1(LMA-D/R) | S1 | S2 | R2(IMA-U) | AR | S1 | R1(LAA-U/L)
6	1	2	4	2	IMA,LAA,LMA	1	...E\nE.E@\nEEE.\nE...	AU | AL | ML | AD | S1 | R1(LMA-L/U) | AL | ML | S2 | R2(IMA-D) | R1(LAA-R/D)
7	1	2	4	2	IMA,LAA,LMA	2	.E.@\nEEE.\n.EE.\n..E.	ML | AD | AL | S2 | S2 | R2(IMA-D) | AD | AL | ML | S1 | R2(LAA-U/R) | R1(LMA-U/L)
7	2	2	4	2	IMA,LAA,LMA	2	.E.@\nEEE.\n.EE.\n..E.	ML | AD | AL | S2 | S2 | R2(IMA-D) | AL | S1 | R1(LAA-R/D) | ML | AU | S1 | S1 | R1(LMA-L/U)
8	1	2	4	2	IMA,LAA,LMA	2	...E\n.EEE\n.EE@\n.E..	AU | AL | MU | AU | S1 | R1(IMA-L) | AL | MD | S2 | R1(LAA-U/L) | R2(LMA-D/L)
8	2	2	4	2	IMA,LAA,LMA	2	...E\n.EEE\n.EE@\n.E..	AU | AL | ML | AL | S2 | MD | AL | R2(IMA-U) | S2 | S2 | R1(LAA-U/L) | R2(LMA-U/R)
9	1	2	4	2	IMA,LAA,LMA	1	EE..\n.E.E\n@.E.\nE..E	AD | MU | AU | AR | S1 | S2 | MR | AU | R2(IMA-R) | S2 | S2 | R2(LMA-D/R) | R1(LAA-D/L)
10	1	2	4	2	IMA,LAA,LMA	1	.EE.\n.@.E\nEE..\n.E.E	AU | MR | AU | S1 | AR | MD | R1(LMA-R/U) | AD | S1 | S1 | R1(IMA-L) | R2(LAA-D/L)
